ticker,company_name,industry_group,latest_date,data_points,return_3d,return_5d,return_10d,return_20d,avg_volume_3d,avg_volume_5d,avg_volume_20d,relative_volume,ma_5d,ma_10d,ma_20d,max_drawdown_10d,up_days_10d,early_momentum_signal,confirmed_momentum_signal,strong_momentum_signal,risk_warning,relative_strength_vs_industry
FLNC,Fluence Energy Inc.,Energy Storage,2026-05-08,124,0.903861,0.981952,0.805680,0.753266,32897149.000000,21592749.400000,8931432.350000,4.617182,16.342000,14.362000,14.079750,-0.114521,7,True,True,True,True,0.656063
STEM,Stem Inc.,Energy Storage,2026-05-08,124,-0.134216,-0.148699,-0.197195,-0.027601,390456.333333,281273.800000,153423.450000,1.797437,9.902000,10.322000,10.604000,-0.226749,5,False,False,False,True,-0.346813
ENPH,Enphase Energy Inc.,Energy Storage,2026-05-08,124,0.011938,0.076810,0.019010,0.168644,4413915.666667,5458949.400000,7111462.350000,0.519014,35.256001,34.382000,33.930000,-0.114926,4,True,False,False,True,-0.130607
SEDG,SolarEdge Technologies Inc.,Energy Storage,2026-05-08,124,-0.074821,-0.037520,-0.098844,-0.011015,5697743.333333,4992706.000000,3932106.500000,0.972845,41.336000,42.570000,42.155500,-0.185099,5,False,False,False,True,-0.248461
GNRC,Generac Holdings Inc.,Energy Storage,2026-05-08,124,0.021731,0.038829,0.219436,0.301309,809974.000000,779044.400000,877151.100000,0.723048,264.866003,253.324002,232.914501,-0.014435,6,False,True,False,True,0.069819
ISRG,Intuitive Surgical Inc.,Robotics Automation,2026-05-08,124,-0.002924,-0.016864,-0.066692,-0.001243,1978893.333333,2137316.000000,2320374.000000,1.030429,451.802002,456.585999,462.461998,-0.044438,4,False,False,False,False,-0.068091
TER,Teradyne Inc.,Robotics Automation,2026-05-08,124,0.007477,0.041544,-0.139471,-0.022338,4106038.666667,3796763.200000,3733055.800000,0.932324,358.179999,356.825000,368.726999,-0.237985,5,True,False,False,True,-0.140871
SYM,Symbotic Inc.,Robotics Automation,2026-05-08,124,-0.099690,-0.112073,-0.119549,-0.028609,3029909.000000,2350445.400000,1658756.350000,1.751991,56.992001,57.690000,59.187500,-0.145029,5,False,False,False,True,-0.120948
ROK,Rockwell Automation Inc.,Robotics Automation,2026-05-08,124,0.041199,0.114032,0.131387,0.146187,954893.333333,1138836.000000,771544.000000,0.745103,439.606000,422.278003,414.631001,-0.023512,5,True,False,False,False,0.129988
CGNX,Cognex Corporation,Robotics Automation,2026-05-08,124,0.116097,0.173758,0.210100,0.229358,6400745.333333,5001007.200000,2481536.800000,1.713832,61.794000,58.277000,56.472000,-0.028499,7,True,True,True,True,0.208700
ZBRA,Zebra Technologies Corporation,Robotics Automation,2026-05-08,124,-0.010333,-0.004624,-0.007378,0.017557,711179.666667,693867.800000,788461.950000,0.980186,227.305997,224.564998,227.759998,-0.024706,4,False,False,False,False,-0.008778
XYZ,Block Inc.,Fintech,2026-05-08,124,0.050526,0.042334,0.044953,0.203376,9048191.000000,7379934.600000,5378353.650000,2.211211,71.794000,71.157000,70.477000,-0.025533,4,True,False,False,False,0.091838
PYPL,PayPal Holdings Inc.,Fintech,2026-05-08,124,-0.024091,-0.100515,-0.101228,0.002874,15581826.000000,19898875.600000,14179703.900000,0.905786,46.948000,48.567000,49.256500,-0.109344,2,False,False,False,True,-0.054344
HOOD,Robinhood Markets Inc.,Fintech,2026-05-08,124,0.000000,0.045751,-0.090662,0.113311,21488796.000000,23719697.600000,34998844.400000,0.512019,77.188000,76.971000,80.988750,-0.151876,6,False,False,False,True,-0.043778
COIN,Coinbase Global Inc.,Fintech,2026-05-08,124,0.017244,0.051817,0.006958,0.198451,9913202.333333,10211441.400000,10062440.350000,1.273708,198.564005,194.435002,195.843501,-0.076012,5,True,False,False,False,0.053842
SOFI,SoFi Technologies Inc.,Fintech,2026-05-08,124,-0.016854,-0.041388,-0.145879,-0.028977,56047465.333333,57681439.200000,68061499.800000,0.789221,16.054000,16.544500,17.590250,-0.172441,4,False,False,False,True,-0.098994
AFRM,Affirm Holdings Inc.,Fintech,2026-05-08,124,-0.041910,-0.052265,0.004551,0.318978,7612713.000000,6075347.800000,5535451.950000,1.692335,66.168001,65.443000,63.578000,-0.052265,5,False,False,False,False,0.051436
NFLX,Netflix Inc.,Consumer Platforms,2026-05-08,124,-0.004551,-0.049642,-0.053548,-0.150665,34763099.333333,36435879.600000,43330254.900000,0.732267,88.583998,90.434999,94.625500,-0.065378,3,False,False,False,False,-0.011831
UBER,Uber Technologies Inc.,Consumer Platforms,2026-05-08,124,0.034270,0.004393,0.010852,0.070516,25642732.333333,23644119.400000,16675384.850000,0.849929,75.645999,75.281000,75.430500,-0.046988,5,False,False,False,False,0.052570
ABNB,Airbnb Inc.,Consumer Platforms,2026-05-08,124,0.012596,-0.001200,-0.009312,0.097162,6443289.000000,5121653.400000,3684733.350000,2.090183,140.084003,140.282001,139.948500,-0.019766,7,False,False,False,False,0.032405
DASH,DoorDash Inc.,Consumer Platforms,2026-05-08,124,-0.013302,-0.067732,-0.072689,0.074387,9004832.000000,7394779.200000,4750104.800000,1.262329,168.392001,170.181000,173.821250,-0.067732,3,False,False,False,False,-0.030972
SPOT,Spotify Technology S.A.,Consumer Platforms,2026-05-08,124,-0.004052,-0.053634,-0.193378,-0.122187,2529806.333333,2603563.800000,2385325.950000,0.755418,425.659998,438.995001,481.033000,-0.157295,4,False,False,False,True,-0.151661
